date,filer,usd_mm,mw,headline,url
2026-03-31,"CoreWeave, Inc.",8500.0,0.0,CoreWeave subsidiary enters $8.5 billion delayed-draw credit facility led by Morgan Stanley and MUFG to fund GPU infrastructure at data center sites under a customer master services agreement,https://www.sec.gov/Archives/edgar/data/1769628/000176962826000129/ex1011.htm
2026-06-10,Hut 8 Corp.,4250.0,352.0,"Hut 8 subsidiary Beacon Point DC LLC closes $4.25 billion 6.129% senior secured notes due 2042 to build a 352 MW six-data-hall turnkey data center in Nueces County, Texas leased to an AA- or better rated tenant",https://www.sec.gov/Archives/edgar/data/1964789/000110465926071952/tm2617190d1_8k.htm
2026-02-05,IREN Ltd,3600.0,1600.0,"IREN secures $3.6bn GPU financing at <6% for its Microsoft contract and announces a new 1.6 GW grid-connected data center campus in Oklahoma, lifting secured power to >4.5 GW",https://www.sec.gov/Archives/edgar/data/1878848/000187884826000014/a991irenreportsq2fy26res.htm
2026-07-28,Galaxy Digital Inc.,3507.0,260.0,"Galaxy Helios Data Centers II LLC closes $3.507 billion of 9.875% senior secured notes due 2031 to build two data center buildings (8 data halls, 400 MW utility / 260 MW critical IT) in Dickens County, Texas leased to CoreWeave",https://www.sec.gov/Archives/edgar/data/1859392/000185939226000079/glxy-20260728.htm
2026-08-05,Galaxy Digital Inc.,3500.0,260.0,"Galaxy Digital completes $3.5bn senior secured notes due 2031 to fund Helios Phase II (260 MW critical IT) for CoreWeave in West Texas after delivering Phase I (200 MW gross / 133 MW IT), and adds three Texas sites (Merlin, Caspian, Selene) taking its power pipeline to 5.7 GW",https://www.sec.gov/Archives/edgar/data/1859392/000185939226000084/glxy-20260630xpressrelease.htm
2026-05-06,"Core Scientific, Inc./tx",3300.0,0.0,"Core Scientific Finance I LLC issues $3.3 billion 7.750% senior secured notes due 2031 backed by CoreWeave colocation license agreements at six data center sites in Texas, Georgia, North Carolina and Oklahoma",https://www.sec.gov/Archives/edgar/data/1839341/000119312526208905/d47435dex41.htm
2026-05-01,Hut 8 Corp.,3250.0,245.0,"Hut 8 subsidiary Hut 8 DC LLC closes $3.25 billion 6.192% senior secured notes due 2042 to fund the 245 MW River Bend data center in St. Francisville, Louisiana leased to Fluidstack with a Google guarantee",https://www.sec.gov/Archives/edgar/data/1964789/000110465926053247/tm2613163d1_8k.htm
2025-11-20,Applied Digital Corp.,2350.0,0.0,"Applied Digital subsidiaries APLD ComputeCo LLC and APLD HPC Holdings 2 LLC issue $2.35bn of 9.250% senior secured notes due 2030 to finance the ELN-02 and ELN-03 data centers in Ellendale, North Dakota leased to CoreWeave",https://www.sec.gov/Archives/edgar/data/1144879/000149315225024479/ex4-1.htm
2026-04-08,Applied Digital Corp.,2150.0,200.0,"Applied Digital completes $2.15bn 6.750% senior secured notes due 2031 to fund the 200 MW Polaris Forge 2 hyperscaler campus in Harwood, ND, breaks ground on the 430 MW / 300 MW-IT Delta Forge 1 campus, and secures $100mm Macquarie DevCo facility plus CoreWeave lease credit enhancements",https://www.sec.gov/Archives/edgar/data/1144879/000114487926000029/apldq326earningsrelease.htm
2026-06-16,Applied Digital Corp.,1590.0,150.0,"Applied Digital subsidiary APLD ComputeCo 3 closes $1.59bn 7.000% senior secured notes due 2031 to fund 150 MW critical IT ELN-04 building leased to CoreWeave at Polaris Forge 1, Ellendale, North Dakota",https://www.sec.gov/Archives/edgar/data/1144879/000149315226028899/form8-k.htm
2025-11-13,Cipher Mining Inc.,1400.0,0.0,"Cipher Compute LLC issues $1.4 billion of 7.125% senior secured notes due 2030 to finance the Barber Lake data center in Colorado City, Texas leased to Fluidstack with Google financial support",https://www.sec.gov/Archives/edgar/data/1819989/000095010325014692/dp237330_0401.htm
2026-05-05,"Solaris Energy Infrastructure, Inc.",1300.0,2200.0,"Solaris Energy Infrastructure markets $1.3bn senior notes and a $650mm MUFG-led revolver to fund behind-the-meter power contracts for AI data centers, disclosing a new >600 MW 10-year Master Equipment Rental Agreement with 'Customer C'",https://www.sec.gov/Archives/edgar/data/1697500/000119312526205278/d70943dex991.htm
2026-07-09,Fermi Inc.,941.0,1500.0,"Fermi July 2026 investor update on Project Matador, a 7,570-acre gas-and-nuclear powered AI campus in Amarillo, Texas targeting up to 1.5 GW by YE2027 (6 GW air permit, up to 17 GW long term), backed by ~$941mm of equipment and corporate debt commitments from MUFG, Keystone, Beal Bank and Yorkville",https://www.sec.gov/Archives/edgar/data/2071778/000121390026076788/ea029753501ex99-2.htm
2026-08-04,Cipher Digital Inc.,810.0,700.0,"Cipher closes $810mm 6.000% senior secured notes to fully fund its Stingray data center, amends Black Pearl hyperscale lease to accelerate first capacity delivery (rent commenced August 2026), and acquires option on 900 MW Apollo site near San Antonio",https://www.sec.gov/Archives/edgar/data/1819989/000181998926000038/cipherdigital_businessup.htm
2026-05-14,Fermi Inc.,785.0,2000.0,"Fermi America closes ~$785M of equipment financing (led by $500M MUFG facility) and secures >2 GW of gas generation for its Project Matador behind-the-meter AI campus in Carson County, Texas, with binding tenant agreement still pending",https://www.sec.gov/Archives/edgar/data/2071778/000207177826000027/fermiex99_2x1q2026invest.htm
