date,year,filer,deal_type,type_group,usd_mm,mw,n,headline,url
2026-08-19,2026,"DUOS TECHNOLOGIES GROUP, INC.",Hosting/Colocation Agreement,Other,500.0,55.0,1,"Duos Edge AI signs five-year service orders with Axe Compute for 55 MW of AI data center capacity across multiple U.S. sites ($500mm+ base payments) in a 51/49 JV with up to $140mm Axe equity, expanding on a 10 MW, $111mm colocation deal at Columbus, Georgia",https://www.sec.gov/Archives/edgar/data/1396536/000107997326001150/ex99x2.htm
2026-08-19,2026,Ionic Digital Inc.,Lease,Lease,,234.0,1,"Ionic Digital begins receiving cash rent on a 234 MW digital infrastructure lease at its Ward County, Texas campus and advances expansion to 700 MW by end of 2027, plus conversion of 112 MW at Midland to AI data centers",https://www.sec.gov/Archives/edgar/data/2007691/000200769126000007/ionicdigitalq22026ex991.htm
2026-08-17,2026,Vulcan Infrastructure & Power Inc.,Equity Financing,Other,39.4,104.0,1,"Machine Investment Group, Atlas Holdings and Conversant Capital lead $39.4mm PIPE into Greenidge Generation, renamed Vulcan Infrastructure & Power, to redeem 2026 notes and convert its 104 MW Dresden, NY plant and Mississippi/North Dakota powered land into AI/HPC data center capacity",https://www.sec.gov/Archives/edgar/data/1844971/000162828026057243/vip_investorxpresentatio.htm
2026-08-13,2026,Fermi Inc.,Lease,Lease,6500.0,222.0,1,"Fermi signs 15-year, ~$6.5bn binding turnkey lease with TensorWave for 222 MW at Project Matador in the Texas Panhandle, plus a 2.6 GW build-own-operate-transfer power alliance with Hillcore",https://www.sec.gov/Archives/edgar/data/2071778/000207177826000046/fermiq22026erex_991.htm
2026-08-13,2026,"Soluna Holdings, Inc",Joint Venture,Joint Venture,,100.0,1,"Soluna Q2 2026 results: signs Kati 2 AI joint venture with Metrobloks for 100 MW critical IT Phase I expandable to 350 MW, acquires 150 MW Briscoe Wind Farm for $53mm and buys out Dorothy 1 JV partners",https://www.sec.gov/Archives/edgar/data/64463/000149315226037734/ex99-1.htm
2026-08-11,2026,"Energy Vault Holdings, Inc.",Power/Interconnection Agreement,Other,500.0,1250.0,1,"Energy Vault signs contract to deploy 1.25 GW of integrated power, storage and software infrastructure with a power-generation EPC (Caterpillar gas engines) for a hyperscaler AI data center in Texas, expected to generate $500-600mm of revenue through 2027; also broke ground on Snyder, TX powered-shell campus for Crusoe",https://www.sec.gov/Archives/edgar/data/1828536/000182853626000100/ex991_evpressreleasex2026q2.htm
2026-08-11,2026,1606 CORP.,Other,Other,,55.0,1,"1606 Corp. engages MDM Group on success-fee basis to market its planned ~132-acre, 55 MW behind-the-meter Lufkin, East Texas power campus to AI infrastructure buyers, off-takers and JV partners",https://www.sec.gov/Archives/edgar/data/1877461/000147793226004844/cbdw_ex991.htm
2026-08-10,2026,"Riot Platforms, Inc.",Lease,Lease,9100.0,191.0,1,"Riot Platforms signs 20-year, 191 MW critical IT build-to-suit data center lease with a leading frontier AI lab at its Rockdale, Texas campus worth ~$9.1bn, backed by a $573mm Morgan Stanley interim financing facility",https://www.sec.gov/Archives/edgar/data/1167419/000110465926093406/riot-20260810xex99d1.htm
2026-08-10,2026,"Babcock & Wilcox Enterprises, Inc.",Power/Interconnection Agreement,Other,2400.0,1200.0,1,"Babcock & Wilcox progresses $2.4bn, 1.2 GW behind-the-meter natural gas steam power project for Base Electron's AI factory near Center, North Dakota, and secures an additional 1 GW of Siemens Energy steam turbines for its next data center project",https://www.sec.gov/Archives/edgar/data/1630805/000163080526000066/bwiroverview-august2026x.htm
2026-08-06,2026,"MARA Holdings, Inc.",Land Acquisition,Other,,2000.0,1,"MARA secures rights via definitive agreement to a 2 GW powered land site in Matagorda County, Texas for a digital infrastructure campus, advances the pending Long Ridge acquisition and raises $600mm of BTC-backed credit facilities from Coinbase and Two Prime to fund it",https://www.sec.gov/Archives/edgar/data/1507605/000150760526000020/q226shareholderletter.htm
2026-08-06,2026,MDU RESOURCES GROUP INC,Power/Interconnection Agreement,Other,,430.0,1,"MDU Resources' electric utility signs electric service agreement with Applied Digital to serve the 430 MW Polaris Forge 3 AI Factory near Center, North Dakota, pending North Dakota PSC approval",https://www.sec.gov/Archives/edgar/data/67716/000006771626000064/a2026q2ex99.htm
2026-08-05,2026,Galaxy Digital Inc.,Debt Financing,Debt Financing,3500.0,260.0,1,"Galaxy Digital completes $3.5bn senior secured notes due 2031 to fund Helios Phase II (260 MW critical IT) for CoreWeave in West Texas after delivering Phase I (200 MW gross / 133 MW IT), and adds three Texas sites (Merlin, Caspian, Selene) taking its power pipeline to 5.7 GW",https://www.sec.gov/Archives/edgar/data/1859392/000185939226000084/glxy-20260630xpressrelease.htm
2026-08-05,2026,IRON MOUNTAIN INC,Lease,Lease,,110.0,1,"Iron Mountain leases 110 MW of data center capacity year-to-date through July 2026 (13 MW in Q2, 75 MW in July), including 51 MW in Mumbai and 25 MW in London to major global hyperscalers",https://www.sec.gov/Archives/edgar/data/1020569/000102056926000068/final-q22026earningspres.htm
